"month","day","year","town","county","cases"
"05","22","2020","Kingwood","Hunterdon","15"
"05","22","2020","Lambertville","Hunterdon","21"
"05","22","2020","Lebanon Borough","Hunterdon","14"
"05","22","2020","Lebanon Township","Hunterdon","14"
"05","22","2020","Milford","Hunterdon","5"
"05","22","2020","Raritan Township","Hunterdon","147"
"05","22","2020","Readington","Hunterdon","64"
"05","22","2020","Stockton","Hunterdon","0"
"05","22","2020","Tewksbury","Hunterdon","19"
"05","22","2020","Union","Hunterdon","187"
"05","22","2020","West Amwell","Hunterdon","18"
"05","22","2020","East Windsor","Mercer","421"
"05","22","2020","Ewing","Mercer","353"
"05","22","2020","Hamilton","Mercer","822"
"05","22","2020","Hightstown","Mercer","102"
"05","22","2020","Hopewell Borough","Mercer","4"
"05","22","2020","Hopewell Township","Mercer","80"
"05","22","2020","Lawrence","Mercer","181"
"05","22","2020","Pennington","Mercer","10"
"05","22","2020","Princeton","Mercer","112"
"05","22","2020","Robbinsville","Mercer","64"
"05","22","2020","Trenton","Mercer","1231"
"05","22","2020","West Windsor","Mercer","146"
"05","22","2020","Carteret","Middlesex","619"
"05","22","2020","Cranbury","Middlesex","45"
"05","22","2020","Dunellen","Middlesex","185"
"05","22","2020","East Brunswick","Middlesex","622"
"05","22","2020","Edison","Middlesex","1693"
"05","22","2020","Helmetta","Middlesex","36"
"05","22","2020","Highland Park","Middlesex","143"
"05","22","2020","Jamesburg","Middlesex","117"
"05","22","2020","Metuchen","Middlesex","121"
"05","22","2020","Middlesex","Middlesex","220"
"05","22","2020","Milltown","Middlesex","73"
"05","22","2020","Monroe","Middlesex","688"
"05","22","2020","New Brunswick","Middlesex","1595"
"05","22","2020","North Brunswick","Middlesex","858"
"05","22","2020","Old Bridge","Middlesex","1015"
"05","22","2020","Perth Amboy","Middlesex","2090"
"05","22","2020","Piscataway","Middlesex","801"
"05","22","2020","Plainsboro","Middlesex","157"
"05","22","2020","Sayreville","Middlesex","680"
"05","22","2020","South Amboy","Middlesex","171"
"05","22","2020","South Brunswick","Middlesex","452"
"05","22","2020","South Plainfield","Middlesex","487"
"05","22","2020","South River","Middlesex","279"
"05","22","2020","Spotswood","Middlesex","92"
"05","22","2020","Woodbridge","Middlesex","1835"
"05","22","2020","Aberdeen","Monmouth","229"
"05","22","2020","Allenhurst","Monmouth","5"
"05","22","2020","Allentown","Monmouth","8"
"05","22","2020","Asbury Park","Monmouth","195"
"05","22","2020","Atlantic Highlands","Monmouth","30"
"05","22","2020","Avon-by-the-Sea","Monmouth","12"
"05","22","2020","Belmar","Monmouth","31"
"05","22","2020","Bradley Beach","Monmouth","43"
"05","22","2020","Brielle","Monmouth","29"
"05","22","2020","Colts Neck","Monmouth","73"
"05","22","2020","Deal","Monmouth","25"
"05","22","2020","Eatontown","Monmouth","262"
