town,population,county
North_Bergen,61627,Hudson
North_Brunswick,41848,Middlesex
North_Caldwell,6618,Essex
North_Haledon,8418,Passaic
North_Hanover,7502,Burlington
North_Plainfield,21535,Somerset
North_Wildwood,3792,Cape May
Northfield,8212,Atlantic
Northvale,4923,Bergen
Norwood,5831,Bergen
Nutley,28500,Essex
Oakland,13021,Bergen
Oaklyn,3963,Camden
Ocean,4256,Monmouth
Ocean_City,11206,Cape May
Ocean_Gate,2026,Ocean
Ocean_Grove,4256,Monmouth
Ocean_Township,9062,Ocean
Ocean_Township,26708,Monmouth
Oceanport,5751,Monmouth
Ogdensburg,2266,Sussex
Old_Bridge,65898,Middlesex
Old_Tappan,5946,Bergen
Oldsman,1795,Salem
Oradell,8193,Bergen
Orange,30658,Essex
Oxford,2433,Warren
Palisades_Park,20820,Bergen
Palmyra,7161,Burlington
Paramus,26558,Bergen
Park_Ridge,8786,Bergen
Parsippany,52265,Morris
Passaic,69948,Passaic
Paterson,145627,Passaic
Paulsboro,5882,Gloucester
Peapack-Gladstone,2591,Somerset
Pedricktown,508,Salem
Pemberton_Borough,1330,Burlington
Pemberton_Township,27071,Burlington
Pennington,2531,Mercer
Penns_Grove,4784,Salem
Pennsauken,35703,Camden
Pennsville,12456,Salem
Pequannock,15157,Morris
Perth_Amboy,51928,Middlesex
Phillipsburg,14303,Warren
Pilesgrove,3990,Salem
Pine_Beach,2172,Ocean
Pine_Hill,10439,Camden
Pine_Valley,12,Camden
Piscataway,56923,Middlesex
Pitman,8780,Gloucester
Pittsgrove,8832,Salem
Plainfield,50693,Union
Plainsboro,23071,Middlesex
Pleasantville,20376,Atlantic
Plumsted,8548,Ocean
Pohatcong,3197,Warren
Point_Pleasant_Beach,4542,Ocean
Point_Pleasant_Borough,18684,Ocean
Pompton_Lakes,11014,Passaic
Port_Republic,1058,Atlantic
Princeton,31386,Mercer
Prospect_Park,5859,Passaic
Quinton,2461,Salem
Rahway,29880,Union
Ramsey,14991,Bergen
Randolph,25619,Morris
Raritan,7875,Somerset
Raritan_Township,22219,Hunterdon
Readington,15840,Hunterdon
Red_Bank,12048,Monmouth
Ridgefield,11265,Bergen
Ridgefield_Park,13009,Bergen
Ridgewood,25272,Bergen
Ringwood,12226,Passaic
River_Edge,11531,Bergen
River_Vale,10062,Bergen
Riverdale,4190,Morris
Riverside,7834,Burlington
Riverton,2685,Burlington
Robbinsville,14583,Mercer
Rochelle_Park,5614,Bergen
Rockaway_Borough,6363,Morris
Rockaway_Township,25677,Morris
Rockleigh,533,Bergen
Rocky_Hill,677,Somerset
Roosevelt,842,Monmouth
Roseland,5851,Essex
Roselle,21902,Union
Roselle_Park,13650,Union
Roxbury,22912,Morris
Rumson,6776,Monmouth
Runnemede,8318,Camden
Rutherford,18460,Bergen
Saddle_Brook,13930,Bergen
Saddle_River,3197,Bergen
Salem,4747,Salem
Sandyston,1838,Sussex
Sayreville,44556,Middlesex
Scotch_Plains,24405,Union
Sea_Bright,1364,Monmouth
Sea_Girt,1771,Monmouth
Sea_Isle_City,2044,Cape May
Seaside_Heights,2906,Ocean
Seaside_Park,1545,Ocean
Secaucus,20742,Hudson
Shamong,6382,Burlington
Shiloh,492,Cumberland
Ship_Bottom,1146,Ocean
Shrewsbury_Borough,4085,Monmouth
Shrewsbury_Township,1000,Monmouth
Somerdale,5473,Camden
Somers_Point,10285,Atlantic
Somerville,12202,Somerset
South_Amboy,8921,Middlesex
South_Bound_Brook,4572,Somerset
South_Brunswick,45942,Middlesex
South_Hackensack,2466,Bergen
South_Harrison,3146,Gloucester
South_Orange,16743,Essex
South_Plainfield,24131,Middlesex
South_River,16023,Middlesex
South_Toms_River,3777,Ocean
Southampton,10124,Burlington
Sparta,18647,Sussex
